iter	Passed	Remaining
400	38052	56840
401	38190	56810
402	38326	56775
403	38455	56731
404	38553	56640
405	38658	56559
406	38750	56460
407	38835	56349
408	38929	56252
409	39013	56142
410	39104	56039
411	39177	55913
412	39257	55797
413	39336	55679
414	39437	55592
415	39514	55471
416	39591	55351
417	39684	55254
418	39782	55163
419	39912	55116
420	40035	55061
421	40171	55021
422	40310	54986
423	40420	54910
424	40549	54861
425	40635	54753
426	40716	54637
427	40797	54523
428	40873	54403
429	40959	54295
430	41056	54202
431	41157	54113
432	41267	54038
433	41365	53947
434	41438	53822
435	41511	53698
436	41617	53616
437	41688	53490
438	41769	53377
439	41853	53268
440	41945	53169
441	42034	53066
442	42140	52984
443	42245	52902
444	42334	52798
445	42421	52693
446	42515	52597
447	42607	52498
448	42735	52443
449	42826	52343
450	42917	52243
451	43024	52162
452	43132	52082
453	43239	52001
454	43335	51907
455	43433	51815
456	43525	51716
457	43629	51630
458	43774	51594
459	43891	51525
460	43999	51443
461	44114	51371
462	44250	51322
463	44395	51284
464	44519	51221
465	44645	51160
466	44748	51073
467	44831	50962
468	44968	50913
469	45062	50814
470	45159	50720
471	45265	50636
472	45421	50606
473	45507	50500
474	45663	50470
475	45844	50467
476	46015	50453
477	46140	50387
478	46253	50308
479	46371	50235
480	46468	50139
481	46587	50066
482	46685	49972
483	46787	49880
484	46885	49785
485	46973	49679
486	47065	49578
487	47203	49524
488	47288	49415
489	47388	49322
490	47483	49223
491	47579	49126
492	47673	49027
493	47766	48926
494	47830	48796
495	47912	48685
496	47986	48566
497	48080	48466
498	48391	48585
499	48479	48479
500	48544	48350
501	48609	48222
502	48705	48124
503	48788	48013
504	48881	47913
505	48971	47810
506	49041	47687
507	49122	47575
508	49196	47456
509	49276	47344
510	49363	47238
511	49486	47167
512	49555	47044
513	49628	46925
514	49702	46807
515	49799	46710
516	49894	46613
517	50021	46545
518	50123	46453
519	50236	46372
520	50363	46303
521	50475	46220
522	50609	46158
523	50701	46057
524	50792	45955
525	50858	45830
526	50938	45718
527	51013	45603
528	51094	45492
529	51169	45376
530	51264	45278
531	51356	45178
532	51450	45079
533	51543	44979
534	51645	44888
535	51776	44821
536	51887	44737
537	51995	44650
538	52091	44553
539	52183	44452
540	52260	44339
541	52330	44219
542	52408	44107
543	52484	43994
544	52555	43876
545	52625	43758
546	52691	43636
547	52804	43554
548	52883	43443
549	52957	43329
550	53030	43213
551	53106	43101
552	53175	42982
553	53253	42871
554	53341	42769
555	53425	42663
556	53503	42552
557	53628	42479
558	53768	42418
559	53934	42377
560	54003	42259
561	54094	42159
562	54194	42065
563	54268	41952
564	54340	41837
565	54437	41741
566	54527	41640
567	54600	41526
568	54693	41428
569	54799	41340
570	54883	41234
571	55003	41156
572	55083	41048
573	55169	40944
574	55270	40852
575	55350	40744
576	55436	40640
577	55523	40537
578	55661	40472
579	55832	40430
580	55983	40373
581	56239	40392
582	56368	40318
583	56485	40236
584	56653	40189
585	56814	40138
586	56941	40062
587	57049	39973
588	57183	39902
589	57358	39859
590	57443	39753
591	57539	39655
592	57644	39563
593	57782	39494
594	57929	39430
595	58078	39368
596	58154	39256
597	58228	39143
598	58304	39031
599	58379	38919
600	58508	38843
601	58587	38733
602	58684	38636
603	58779	38537
604	58855	38426
605	58943	38323
606	59046	38229
607	59146	38133
608	59234	38030
609	59312	37921
610	59391	37812
611	59472	37705
612	59593	37622
613	59676	37516
614	59761	37411
615	59849	37308
616	59940	37207
617	60045	37115
618	60159	37028
619	60249	36927
620	60326	36817
621	60417	36716
622	60503	36612
623	60667	36556
624	60765	36459
625	60859	36360
626	60945	36256
627	61038	36156
628	61139	36061
629	61239	35966
630	61339	35870
631	61433	35771
632	61528	35672
633	61607	35564
634	61696	35463
635	61827	35385
636	61943	35299
637	62055	35209
638	62154	35114
639	62287	35036
640	62424	34961
641	62541	34875
642	62652	34785
643	62744	34685
644	62870	34603
645	62947	34494
646	63010	34378
647	63080	34266
648	63167	34163
649	63248	34056
650	63346	33960
651	63472	33877
652	63569	33780
653	63657	33677
654	63744	33575
655	63828	33470
656	63953	33388
657	64033	33281
658	64111	33174
659	64187	33066
660	64270	32961
661	64353	32857
662	64442	32755
663	64533	32655
664	64622	32554
665	64700	32447
666	64783	32343
667	64873	32242
668	64965	32142
669	65105	32067
670	65200	31968
671	65269	31857
672	65339	31747
673	65408	31636
674	65478	31526
675	65574	31429
676	65665	31329
677	65734	31219
678	65805	31109
679	65871	30998
680	65946	30891
681	66034	30790
682	66155	30704
683	66232	30598
684	66301	30488
685	66373	30380
686	66445	30272
687	66521	30166
688	66601	30062
689	66690	29962
690	66782	29863
691	66864	29760
692	66948	29658
693	67028	29554
694	67105	29449
695	67212	29357
696	67363	29284
697	67442	29179
698	67520	29075
699	67609	28975
700	67692	28873
701	67777	28771
702	67903	28687
703	68003	28592
704	68097	28494
705	68193	28398
706	68303	28306
707	68473	28240
708	68563	28140
709	68643	28037
710	68710	27928
711	68793	27826
712	68882	27726
713	68997	27637
714	69188	27578
715	69313	27493
716	69423	27401
717	69568	27323
718	69661	27224
719	69747	27123
720	69826	27020
721	69908	26917
722	69991	26815
723	70090	26719
724	70188	26623
725	70263	26518
726	70343	26415
727	70426	26313
728	70510	26211
729	70632	26124
730	70730	26028
731	70802	25922
732	70868	25814
733	70942	25709
734	71025	25607
735	71106	25505
736	71215	25413
737	71292	25309
738	71364	25204
739	71438	25100
740	71515	24996
741	71587	24891
742	71659	24786
743	71789	24701
744	71863	24597
745	71931	24491
746	72012	24389
747	72085	24285
748	72159	24181
749	72245	24081
750	72331	23982
751	72417	23882
752	72489	23778
753	72558	23672
754	72625	23567
755	72697	23463
756	72809	23372
757	72902	23275
758	72976	23171
759	73057	23070
760	73132	22968
761	73207	22865
762	73284	22763
763	73371	22664
764	73457	22565
765	73525	22460
766	73609	22361
767	73718	22269
768	73814	22173
769	73981	22098
770	74090	22005
771	74191	21911
772	74281	21813
773	74375	21716
774	74452	21615
775	74542	21517
776	74623	21416
777	74696	21314
778	74781	21215
779	74869	21117
780	74962	21020
781	75108	20938
782	75201	20841
783	75283	20741
784	75367	20642
785	75439	20539
786	75509	20436
787	75596	20338
788	75692	20242
789	75781	20144
790	75865	20045
791	75959	19948
792	76056	19853
793	76140	19754
794	76300	19675
795	76394	19578
796	76475	19478
797	76566	19381
798	76657	19284
799	76758	19189
800	76869	19097
801	76968	19002
802	77056	18904
803	77148	18807
804	77284	18721
805	77373	18623
806	77472	18528
807	77574	18433
808	77652	18333
809	77730	18233
810	77844	18141
811	77935	18044
812	78020	17945
813	78102	17846
814	78188	17748
815	78285	17652
816	78571	17599
817	78642	17497
818	78718	17396
819	78795	17296
820	78867	17195
821	78938	17093
822	79023	16995
823	79128	16901
824	79204	16800
825	79281	16701
826	79373	16604
827	79475	16509
828	79569	16413
829	79747	16333
830	79841	16237
831	79936	16141
832	80036	16045
833	80124	15948
834	80202	15848
835	80295	15751
836	80384	15654
837	80470	15556
838	80555	15458
839	80646	15361
840	80794	15275
841	80900	15180
842	80983	15082
843	81057	14982
844	81131	14882
845	81203	14781
846	81279	14682
847	81363	14584
848	81460	14488
849	81530	14387
850	81605	14288
851	81680	14188
852	81753	14088
853	81831	13989
854	81974	13902
855	82046	13802
856	82121	13702
857	82199	13604
858	82274	13504
859	82347	13405
860	82423	13306
861	82520	13210
862	82598	13112
863	82667	13012
864	82740	12913
865	82820	12815
866	82894	12716
867	82987	12620
868	83121	12530
869	83199	12432
870	83270	12332
871	83350	12234
872	83431	12137
873	83515	12039
874	83604	11943
875	83691	11846
876	83782	11750
877	83865	11653
878	83948	11556
879	84026	11458
880	84174	11369
881	84258	11272
882	84338	11175
883	84416	11077
884	84493	10979
885	84560	10880
886	84637	10782
887	84745	10688
888	84885	10598
889	84962	10500
890	85060	10405
