iter	Logloss
0	0.6924582823
1	0.6917987612
2	0.6911915982
3	0.6905674346
4	0.689948441
5	0.6893075174
6	0.6887206975
7	0.6880919898
8	0.6875215029
9	0.6869120994
10	0.6863437142
11	0.6857358811
12	0.6851913497
13	0.6846238866
14	0.6839553277
15	0.6832839186
16	0.6826712816
17	0.6820757606
18	0.6814194836
19	0.6808168331
20	0.6801441873
21	0.6795742266
22	0.6789675316
23	0.6783521207
24	0.6777256489
25	0.6770653761
26	0.6763675587
27	0.675777353
28	0.6751001062
29	0.6745728626
30	0.67399424
31	0.6732706107
32	0.6726430566
33	0.672131409
34	0.6715875061
35	0.6709956547
36	0.6704071524
37	0.6697686966
38	0.6691375228
39	0.6685249328
40	0.6680011907
41	0.6674683798
42	0.6668979683
43	0.6662926316
44	0.6657349774
45	0.6651946603
46	0.6646395149
47	0.6640956554
48	0.6634581936
49	0.6628639092
50	0.6622791628
51	0.6617013413
52	0.661126447
53	0.6605032324
54	0.6599500118
55	0.6593348045
56	0.6588173332
57	0.6581936433
58	0.6576431947
59	0.6570750786
60	0.6565169897
61	0.6559017209
62	0.6553350658
63	0.6547397372
64	0.6541640317
65	0.6535456124
66	0.6529877406
67	0.6525241771
68	0.651912491
69	0.6513488358
70	0.6507590336
71	0.6501020166
72	0.649515754
73	0.6488917666
74	0.6482829471
75	0.6478146881
76	0.647220347
77	0.6466500626
78	0.6460467806
79	0.6454887286
80	0.6449322402
81	0.6444131557
82	0.6438352864
83	0.6432779265
84	0.6426975226
85	0.6421498507
86	0.6416132834
87	0.64107016
88	0.6405490979
89	0.6400001191
90	0.6394054913
91	0.6388775058
92	0.6382873479
93	0.6377419542
94	0.637200055
95	0.6366706037
96	0.6361622982
97	0.6356558671
98	0.6351210468
99	0.6345992792
100	0.6340907147
101	0.6335539329
102	0.6329918366
103	0.6324242522
104	0.631859803
105	0.6313818083
106	0.63085826
107	0.6303792544
108	0.6297934764
109	0.6292529357
110	0.6287930987
111	0.6282494855
112	0.6276941621
113	0.627143057
114	0.6265735251
115	0.6260992869
116	0.6255733336
117	0.6251269588
118	0.6246183879
119	0.6241676859
120	0.6236846126
121	0.6231345185
122	0.6226168475
123	0.6220475215
124	0.6214489779
125	0.6210523619
126	0.6205605487
127	0.6200915085
128	0.6195868788
129	0.6191265427
130	0.6186500136
131	0.6181285651
132	0.6176400967
133	0.6171684764
134	0.616657607
135	0.616166556
136	0.615646759
137	0.6151340348
138	0.6146641204
139	0.6141813753
140	0.6136740168
141	0.6133064156
142	0.6127988749
143	0.6122824412
144	0.6117581021
145	0.6113246675
146	0.6108418521
147	0.6104660972
148	0.6100286115
149	0.6095295705
150	0.6091050814
151	0.6086671432
152	0.6082324521
153	0.6077311926
154	0.6072710906
155	0.6067431832
156	0.6063531651
157	0.6058972595
158	0.6054876715
159	0.6049911687
160	0.6044487903
161	0.6040478883
162	0.6036116554
163	0.6031547905
164	0.6027050927
165	0.6022419054
166	0.6017121341
167	0.6012588511
168	0.6007909943
169	0.6003025911
170	0.5998267701
171	0.5992614543
172	0.5987965574
173	0.5983670913
174	0.5978822268
175	0.5973482743
176	0.5969232361
177	0.5964345481
178	0.595975541
179	0.5955268487
180	0.5951447649
181	0.5947042131
182	0.5942680851
183	0.5937838503
184	0.5933380675
185	0.5928848553
186	0.5924570234
187	0.5920159936
188	0.5916379552
189	0.5912070306
190	0.5907651418
191	0.5903245274
192	0.5898971813
193	0.5895215912
194	0.5890563201
195	0.5886684723
196	0.5882294867
197	0.587778135
198	0.5874044889
199	0.5869560235
200	0.5865287117
201	0.5861590364
202	0.5857294261
203	0.5853368414
204	0.5849030454
205	0.5844581898
206	0.5840451181
207	0.5836129447
208	0.5832011306
209	0.5827867621
210	0.5823420855
211	0.5819674453
212	0.5815143901
213	0.5810712965
214	0.5806702566
215	0.5802287408
216	0.5797903929
217	0.5793764179
218	0.5790417342
219	0.5786269931
220	0.5782298176
221	0.5778168034
222	0.5773697382
223	0.5769824692
224	0.576580053
225	0.5762156039
226	0.5758393795
227	0.5754478212
228	0.5750610893
229	0.5746553995
230	0.5742200686
231	0.5738671812
232	0.5735385642
233	0.5731785087
234	0.5727423001
235	0.5723453452
236	0.5719676434
237	0.5715710914
238	0.5711740798
239	0.5707452201
240	0.5703448927
241	0.5699700573
242	0.5696268529
243	0.5692112799
244	0.568800073
245	0.5684209499
246	0.5681056262
247	0.567808565
248	0.5674352702
249	0.567026045
250	0.5666534539
251	0.566219269
252	0.5658786941
253	0.565476714
254	0.5651081608
255	0.5647594998
256	0.5643703049
257	0.5640057999
258	0.563636553
259	0.5631927584
260	0.5628754983
261	0.5626153955
262	0.5622124156
263	0.5618243157
264	0.5614297453
265	0.5609646994
266	0.5605921289
267	0.5602116315
268	0.5598815754
269	0.5595077877
270	0.5591618421
271	0.5588059057
272	0.5583971334
273	0.5579802431
274	0.5576006063
275	0.5571874128
276	0.5568555178
277	0.556481802
278	0.556124567
279	0.5557467123
280	0.5553801655
281	0.5550844076
282	0.5547273663
283	0.5544021332
284	0.5539828853
285	0.5536277971
286	0.5532832988
287	0.5528500882
288	0.552476115
289	0.5521177594
290	0.5517922348
291	0.5513910458
292	0.5510471106
293	0.5506755924
294	0.5503036274
295	0.5500569549
296	0.5497440013
297	0.5494321194
298	0.5490605951
299	0.5486793331
300	0.548376928
301	0.5479858787
302	0.5476424605
303	0.547353086
304	0.5469512028
305	0.5466393137
306	0.5462666539
307	0.5459341213
308	0.545649504
309	0.5452829692
310	0.5448683306
311	0.5445246656
312	0.5441636946
313	0.5438415936
314	0.5434623033
315	0.5431168835
316	0.5428008614
317	0.5424506865
318	0.5421135083
319	0.5417424911
320	0.5414313424
321	0.5411136229
322	0.5407652474
323	0.5404128331
324	0.540157176
325	0.5398780233
326	0.5395469073
327	0.5391896439
328	0.5389400282
329	0.5386454146
330	0.5383844964
331	0.5380448508
332	0.537726814
333	0.5374471053
334	0.5370352228
335	0.5367181712
336	0.5363409175
337	0.5359847991
338	0.5356386188
339	0.5353119448
340	0.5349903562
341	0.534738922
342	0.5343788325
343	0.5341262512
344	0.5337896
345	0.5334404214
346	0.5330999887
347	0.5327449598
348	0.5323963291
349	0.5321099007
350	0.5317958273
351	0.5315223645
352	0.5312106273
353	0.5308583936
354	0.530500329
355	0.5302089177
356	0.5298811003
357	0.5295638265
358	0.5292767539
359	0.5290141899
360	0.5287581739
361	0.5284651565
362	0.528193879
363	0.5279031933
